2025-08-19 10:04:21.958 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-08-19 10:07:15.955 [http-nio-8080-exec-4] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: GET /swagger-ui/index.css
2025-08-19 10:07:15.955 [http-nio-8080-exec-5] INFO  com.ankai.security.JwtAuthenticationFilter - 跳过JWT验证，直接放行: /swagger-ui/swagger-ui-bundle.js
2025-08-19 10:07:15.955 [http-nio-8080-exec-4] INFO  com.ankai.security.JwtAuthenticationFilter - 跳过JWT验证，直接放行: /swagger-ui/index.css
2025-08-19 10:07:15.957 [http-nio-8080-exec-7] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: GET /swagger-ui/swagger-ui-standalone-preset.js
2025-08-19 10:07:15.958 [http-nio-8080-exec-7] INFO  com.ankai.security.JwtAuthenticationFilter - 跳过JWT验证，直接放行: /swagger-ui/swagger-ui-standalone-preset.js
2025-08-19 10:07:15.964 [http-nio-8080-exec-6] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: GET /swagger-ui/swagger-initializer.js
2025-08-19 10:07:15.965 [http-nio-8080-exec-6] INFO  com.ankai.security.JwtAuthenticationFilter - 跳过JWT验证，直接放行: /swagger-ui/swagger-initializer.js
2025-08-19 10:07:16.301 [http-nio-8080-exec-8] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: GET /v3/api-docs/swagger-config
2025-08-19 10:07:16.304 [http-nio-8080-exec-8] INFO  com.ankai.security.JwtAuthenticationFilter - 跳过JWT验证，直接放行: /v3/api-docs/swagger-config
2025-08-19 10:07:16.306 [http-nio-8080-exec-9] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: GET /swagger-ui/favicon-32x32.png
2025-08-19 10:07:16.307 [http-nio-8080-exec-9] INFO  com.ankai.security.JwtAuthenticationFilter - 跳过JWT验证，直接放行: /swagger-ui/favicon-32x32.png
2025-08-19 10:07:16.341 [http-nio-8080-exec-10] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: GET /v3/api-docs
2025-08-19 10:07:16.341 [http-nio-8080-exec-10] INFO  com.ankai.security.JwtAuthenticationFilter - 跳过JWT验证，直接放行: /v3/api-docs
2025-08-19 10:07:16.745 [http-nio-8080-exec-10] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 398 ms
2025-08-19 10:07:53.299 [http-nio-8080-exec-7] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: GET /api/test/info
2025-08-19 10:07:53.299 [http-nio-8080-exec-7] INFO  com.ankai.security.JwtAuthenticationFilter - 跳过JWT验证，直接放行: /api/test/info
2025-08-19 10:08:41.021 [http-nio-8080-exec-5] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: GET /
2025-08-19 10:09:05.890 [http-nio-8080-exec-8] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: POST /api/auth/login
2025-08-19 10:09:05.890 [http-nio-8080-exec-8] INFO  com.ankai.security.JwtAuthenticationFilter - 跳过JWT验证，直接放行: /api/auth/login
2025-08-19 10:09:05.940 [http-nio-8080-exec-8] INFO  com.ankai.controller.AuthController - 接收到登录请求: admin
2025-08-19 10:09:08.069 [http-nio-8080-exec-8] INFO  com.ankai.service.impl.AuthServiceImpl - 用户登录请求: admin
2025-08-19 10:09:08.150 [http-nio-8080-exec-8] INFO  com.ankai.security.UserDetailsServiceImpl - 加载用户信息: admin
2025-08-19 10:09:08.180 [http-nio-8080-exec-8] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-08-19 10:09:08.562 [http-nio-8080-exec-8] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@1448ad5b
2025-08-19 10:09:08.567 [http-nio-8080-exec-8] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-08-19 10:09:08.671 [http-nio-8080-exec-8] INFO  com.ankai.security.UserDetailsServiceImpl - 用户 admin 拥有权限: [ROLE_SUPER_ADMIN, SUPER_ADMIN]
2025-08-19 10:09:08.786 [http-nio-8080-exec-8] INFO  com.ankai.service.impl.AuthServiceImpl - 用户登录成功: admin
2025-08-19 10:09:15.433 [http-nio-8080-exec-10] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: POST /api/user/page
2025-08-19 10:09:20.028 [http-nio-8080-exec-4] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: POST /api/user/page
2025-08-19 10:09:28.920 [http-nio-8080-exec-1] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: POST /api/user/page
2025-08-19 10:09:49.419 [http-nio-8080-exec-3] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: POST /api/user/page
2025-08-19 10:13:21.578 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-08-19 10:13:21.592 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-08-19 10:25:11.922 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2025-08-19 10:25:11.959 [main] INFO  com.ankai.AnKaiBackendApplication - Starting AnKaiBackendApplication using Java 17.0.15 with PID 26648 (C:\Users\A\Desktop\AnKaiBackend\Ankai_Backend\target\classes started by A in C:\Users\A\Desktop\AnKaiBackend\Ankai_Backend)
2025-08-19 10:25:11.960 [main] INFO  com.ankai.AnKaiBackendApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-19 10:25:12.841 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2025-08-19 10:27:32.713 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2025-08-19 10:27:32.788 [main] INFO  com.ankai.AnKaiBackendApplication - Starting AnKaiBackendApplication using Java 17.0.15 with PID 11324 (C:\Users\A\Desktop\AnKaiBackend\Ankai_Backend\target\classes started by A in C:\Users\A\Desktop\AnKaiBackend\Ankai_Backend)
2025-08-19 10:27:32.789 [main] INFO  com.ankai.AnKaiBackendApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-19 10:27:33.661 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-08-19 10:27:33.663 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-08-19 10:27:33.690 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces.
2025-08-19 10:27:34.356 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-08-19 10:27:34.364 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-08-19 10:27:34.364 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-08-19 10:27:34.364 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2025-08-19 10:27:34.438 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-08-19 10:27:34.438 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1592 ms
2025-08-19 10:27:35.207 [main] INFO  org.redisson.Version - Redisson 3.24.3
2025-08-19 10:27:35.407 [redisson-netty-4-4] INFO  org.redisson.connection.pool.MasterConnectionPool - 1 connections initialized for 101.34.253.208/101.34.253.208:6379
2025-08-19 10:27:35.449 [redisson-netty-4-5] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for 101.34.253.208/101.34.253.208:6379
2025-08-19 10:27:35.761 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@19540247, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@acb1c9c, org.springframework.security.web.context.SecurityContextHolderFilter@71e409f, org.springframework.security.web.header.HeaderWriterFilter@7fad28ac, org.springframework.security.web.authentication.logout.LogoutFilter@6bfdaed7, com.ankai.security.JwtAuthenticationFilter@49986178, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6aa792, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5c78f456, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1c681761, org.springframework.security.web.session.SessionManagementFilter@57f89680, org.springframework.security.web.access.ExceptionTranslationFilter@2761156e, org.springframework.security.web.access.intercept.AuthorizationFilter@f0381f0]
2025-08-19 10:27:36.021 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-08-19 10:27:36.031 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-08-19 10:27:36.038 [main] INFO  com.ankai.AnKaiBackendApplication - Started AnKaiBackendApplication in 3.857 seconds (process running for 4.549)
2025-08-19 10:28:09.258 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-08-19 10:28:09.258 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-08-19 10:28:09.259 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-08-19 10:28:09.267 [http-nio-8080-exec-2] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: POST /api/user/page
2025-08-19 10:29:09.203 [http-nio-8080-exec-1] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: POST /api/user/page
2025-08-19 10:30:09.199 [http-nio-8080-exec-4] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: POST /api/user/page
2025-08-19 10:31:09.212 [http-nio-8080-exec-3] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: POST /api/user/page
2025-08-19 10:32:09.206 [http-nio-8080-exec-5] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: POST /api/user/page
2025-08-19 10:33:09.199 [http-nio-8080-exec-6] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: POST /api/user/page
2025-08-19 10:34:09.195 [http-nio-8080-exec-7] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: POST /api/user/page
2025-08-19 10:35:09.205 [http-nio-8080-exec-8] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: POST /api/user/page
2025-08-19 10:35:13.749 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2025-08-19 10:35:13.794 [main] INFO  com.ankai.AnKaiBackendApplication - Starting AnKaiBackendApplication using Java 17.0.15 with PID 3516 (C:\Users\A\Desktop\AnKaiBackend\Ankai_Backend\target\classes started by A in C:\Users\A\Desktop\AnKaiBackend\Ankai_Backend)
2025-08-19 10:35:13.795 [main] INFO  com.ankai.AnKaiBackendApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-19 10:35:14.427 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-08-19 10:35:14.430 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-08-19 10:35:14.454 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces.
2025-08-19 10:35:15.046 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-08-19 10:35:15.053 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-08-19 10:35:15.054 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-08-19 10:35:15.054 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2025-08-19 10:35:15.128 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-08-19 10:35:15.128 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1299 ms
2025-08-19 10:35:15.818 [main] INFO  org.redisson.Version - Redisson 3.24.3
2025-08-19 10:35:16.014 [redisson-netty-4-4] INFO  org.redisson.connection.pool.MasterConnectionPool - 1 connections initialized for 101.34.253.208/101.34.253.208:6379
2025-08-19 10:35:16.059 [redisson-netty-4-5] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for 101.34.253.208/101.34.253.208:6379
2025-08-19 10:35:16.346 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@272c5abd, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@60c8909a, org.springframework.security.web.context.SecurityContextHolderFilter@49f41c2e, org.springframework.security.web.header.HeaderWriterFilter@28515443, org.springframework.security.web.authentication.logout.LogoutFilter@642614b7, com.ankai.security.JwtAuthenticationFilter@6723cce7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2ab39942, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@64186f60, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@70ad0854, org.springframework.security.web.session.SessionManagementFilter@5da1a97f, org.springframework.security.web.access.ExceptionTranslationFilter@39c1e7b7, org.springframework.security.web.access.intercept.AuthorizationFilter@138a952f]
2025-08-19 10:35:16.595 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-08-19 10:35:16.604 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-08-19 10:35:16.611 [main] INFO  com.ankai.AnKaiBackendApplication - Started AnKaiBackendApplication in 3.261 seconds (process running for 3.926)
2025-08-19 10:35:27.307 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-08-19 10:35:27.307 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-08-19 10:35:27.310 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2025-08-19 10:35:27.319 [http-nio-8080-exec-1] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: POST /api/user/page
2025-08-19 10:35:33.495 [http-nio-8080-exec-2] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: POST /api/auth/logout
2025-08-19 10:35:33.495 [http-nio-8080-exec-2] INFO  com.ankai.security.JwtAuthenticationFilter - 跳过JWT验证，直接放行: /api/auth/logout
2025-08-19 10:35:33.522 [http-nio-8080-exec-2] INFO  com.ankai.controller.AuthController - 用户登出: 失败
2025-08-19 10:35:51.354 [http-nio-8080-exec-3] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: POST /api/auth/login
2025-08-19 10:35:51.354 [http-nio-8080-exec-3] INFO  com.ankai.security.JwtAuthenticationFilter - 跳过JWT验证，直接放行: /api/auth/login
2025-08-19 10:35:51.456 [http-nio-8080-exec-3] INFO  com.ankai.controller.AuthController - 接收到登录请求: admin
2025-08-19 10:35:51.456 [http-nio-8080-exec-3] INFO  com.ankai.service.impl.AuthServiceImpl - 用户登录请求: admin
2025-08-19 10:35:51.528 [http-nio-8080-exec-3] INFO  com.ankai.security.UserDetailsServiceImpl - 加载用户信息: admin
2025-08-19 10:35:51.546 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-08-19 10:35:51.924 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@78c3a070
2025-08-19 10:35:51.925 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-08-19 10:35:52.030 [http-nio-8080-exec-3] INFO  com.ankai.security.UserDetailsServiceImpl - 用户 admin 拥有权限: [ROLE_SUPER_ADMIN, SUPER_ADMIN]
2025-08-19 10:35:52.152 [http-nio-8080-exec-3] INFO  com.ankai.service.impl.AuthServiceImpl - 用户登录成功: admin
2025-08-19 10:44:33.036 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-08-19 10:44:33.077 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-08-19 10:45:50.264 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2025-08-19 10:45:50.311 [main] INFO  com.ankai.AnKaiBackendApplication - Starting AnKaiBackendApplication using Java 17.0.15 with PID 20864 (C:\Users\A\Desktop\AnKaiBackend\Ankai_Backend\target\classes started by A in C:\Users\A\Desktop\AnKaiBackend\Ankai_Backend)
2025-08-19 10:45:50.312 [main] INFO  com.ankai.AnKaiBackendApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-19 10:45:50.981 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-08-19 10:45:50.984 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-08-19 10:45:51.010 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces.
2025-08-19 10:45:51.661 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-08-19 10:45:51.669 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-08-19 10:45:51.669 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-08-19 10:45:51.669 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2025-08-19 10:45:51.744 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-08-19 10:45:51.744 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1394 ms
2025-08-19 10:45:52.193 [main] INFO  com.ankai.config.RedisConfig - 配置Redis连接工厂 - Host: 101.34.253.208, Port: 6379, Database: 9
2025-08-19 10:45:52.365 [main] INFO  com.ankai.config.RedisConfig - Redis连接工厂配置完成，使用数据库: 9
2025-08-19 10:45:52.388 [main] INFO  com.ankai.config.RedisConfig - 配置Redisson客户端 - Host: 101.34.253.208, Port: 6379, Database: 9
2025-08-19 10:45:52.395 [main] INFO  com.ankai.config.RedisConfig - Redisson客户端配置完成，使用数据库: 9
2025-08-19 10:45:52.461 [main] INFO  org.redisson.Version - Redisson 3.24.3
2025-08-19 10:45:52.671 [redisson-netty-6-4] INFO  org.redisson.connection.pool.MasterConnectionPool - 1 connections initialized for 101.34.253.208/101.34.253.208:6379
2025-08-19 10:45:52.715 [redisson-netty-6-5] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for 101.34.253.208/101.34.253.208:6379
2025-08-19 10:45:53.094 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@f5f8de2, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6baee63b, org.springframework.security.web.context.SecurityContextHolderFilter@2ba08f26, org.springframework.security.web.header.HeaderWriterFilter@21dd9203, org.springframework.security.web.authentication.logout.LogoutFilter@478c84aa, com.ankai.security.JwtAuthenticationFilter@261275ae, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@50b624da, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1764e45e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1002b06d, org.springframework.security.web.session.SessionManagementFilter@4d90d91f, org.springframework.security.web.access.ExceptionTranslationFilter@34d72f06, org.springframework.security.web.access.intercept.AuthorizationFilter@3cab07dd]
2025-08-19 10:45:53.374 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-08-19 10:45:53.388 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-08-19 10:45:53.397 [main] INFO  com.ankai.AnKaiBackendApplication - Started AnKaiBackendApplication in 3.588 seconds (process running for 4.221)
2025-08-19 10:46:04.206 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-08-19 10:46:04.206 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-08-19 10:46:04.208 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-08-19 10:46:04.218 [http-nio-8080-exec-1] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: POST /api/auth/logout
2025-08-19 10:46:04.218 [http-nio-8080-exec-1] INFO  com.ankai.security.JwtAuthenticationFilter - 跳过JWT验证，直接放行: /api/auth/logout
2025-08-19 10:46:04.258 [http-nio-8080-exec-1] INFO  com.ankai.controller.AuthController - 用户登出: 失败
2025-08-19 10:46:13.908 [http-nio-8080-exec-2] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: POST /api/auth/login
2025-08-19 10:46:13.908 [http-nio-8080-exec-2] INFO  com.ankai.security.JwtAuthenticationFilter - 跳过JWT验证，直接放行: /api/auth/login
2025-08-19 10:46:13.995 [http-nio-8080-exec-2] INFO  com.ankai.controller.AuthController - 接收到登录请求: admin
2025-08-19 10:46:13.995 [http-nio-8080-exec-2] INFO  com.ankai.service.impl.AuthServiceImpl - 用户登录请求: admin
2025-08-19 10:46:14.081 [http-nio-8080-exec-2] INFO  com.ankai.security.UserDetailsServiceImpl - 加载用户信息: admin
2025-08-19 10:46:14.100 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
